trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",30,0,-76.87180656094581,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",25,10,-45.55729234497469,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",25,5,-160.78996903747344,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",1
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,0,-83.00677080062987,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
46,False,"{'a': 0.001, 'e': 0.9559974818331}",20,0,-88.66757281335099,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",35,0,-188.55706945597555,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 4}",0
48,False,"{'a': 0.001, 'e': 0.9540873975903711}",25,0,-203.70577608348677,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
49,False,"{'a': 0.001, 'e': 0.9531337870775047}",20,0,-187.67648310149244,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
50,False,"{'a': 0.001, 'e': 0.9521811296985049}",20,0,-48.124470542762694,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
51,False,"{'a': 0.001, 'e': 0.951229424500714}",30,0,-73.53960568906163,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
52,False,"{'a': 0.001, 'e': 0.950278670532427}",25,0,-218.76489407246368,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
53,False,"{'a': 0.001, 'e': 0.9493288668428895}",20,0,-85.5214218952602,"{0: 8, 1: 6, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",30,0,-146.30227019484045,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
55,False,"{'a': 0.001, 'e': 0.9474321065017983}",20,0,-34.06939340549076,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
56,False,"{'a': 0.001, 'e': 0.9464851479534838}",30,0,-228.5144755424923,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
57,False,"{'a': 0.001, 'e': 0.9455391358903963}",20,0,-99.51582478919752,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.001, 'e': 0.9445940693665233}",25,0,-176.78667358249535,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
59,False,"{'a': 0.001, 'e': 0.9436499474367985}",25,0,-58.218447246142226,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.001, 'e': 0.9427067691570997}",20,0,-78.95186260414924,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
61,False,"{'a': 0.001, 'e': 0.9417645335842487}",25,5,-3.8981123639381856,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.001, 'e': 0.9408232397760097}",35,0,-146.3907200876888,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
63,False,"{'a': 0.001, 'e': 0.9398828867910889}",25,0,-133.18334374475958,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
64,False,"{'a': 0.001, 'e': 0.9389434736891332}",35,0,-53.13919717696353,"{0: 24, 1: 7, 2: 3, 3: 1, 4: 0}",0
65,False,"{'a': 0.001, 'e': 0.9380049995307295}",30,0,-140.9562077509884,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
66,False,"{'a': 0.001, 'e': 0.9370674633774034}",25,0,-161.58605845412995,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
67,False,"{'a': 0.001, 'e': 0.9361308642916188}",20,0,-148.50139830595305,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
68,False,"{'a': 0.001, 'e': 0.9351952013367766}",30,0,-96.0508176689643,"{0: 19, 1: 0, 2: 10, 3: 1, 4: 0}",0
69,False,"{'a': 0.001, 'e': 0.9342604735772135}",20,0,-170.3673930394484,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
70,False,"{'a': 0.001, 'e': 0.933326680078202}",20,0,-109.58591479138903,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.001, 'e': 0.9323938199059483}",25,0,-183.57592890706925,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
72,False,"{'a': 0.001, 'e': 0.9314618921275921}",20,4,-96.11438376213019,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 1}",1
73,False,"{'a': 0.001, 'e': 0.9305308958112057}",25,0,-128.3187907398712,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
74,False,"{'a': 0.001, 'e': 0.9296008300257927}",25,0,-108.32701578577844,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
75,False,"{'a': 0.001, 'e': 0.9286716938412872}",20,0,-126.79316480336244,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.001, 'e': 0.9277434863285529}",20,0,-112.18695221477435,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
77,False,"{'a': 0.001, 'e': 0.9268162065593822}",25,0,-110.5428389976225,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
78,False,"{'a': 0.001, 'e': 0.9258898536064953}",20,0,-121.12510637452445,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
79,False,"{'a': 0.001, 'e': 0.9249644265435393}",20,0,-120.17636480603711,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
80,False,"{'a': 0.001, 'e': 0.9240399244450868}",20,0,-160.74576724032516,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
81,False,"{'a': 0.001, 'e': 0.9231163463866358}",20,0,-131.03238770477935,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
